id,name,price,explanation,course_id,created_at,updated_at,author,publisher,published_year,isbn_10,isbn_13,issn_13,book_code,url,textbook_status,small_thumbnail,thumbnail,info_link
1,入門GDP 統計と経済波及効果分析  ,,none,3,2017-03-26 12:55:12 UTC,2017-06-04 13:15:59 UTC,李潔 ,大学教育出版 ,2016 ,4864293597,9784864293594,,4864293597,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4864293597,published,none,none,http://books.google.co.jp/books?id=_0CJDAEACAAJ&dq=isbn:4864293597&hl=&source=gbs_api
2,『労働法（第５版）』  ,,読者から詳しい説明が欲しいと要望があった箇所を大幅加筆!非正規労働者に関する法をまとめて第3編第3章に拡充!私見や裁判例の細かい説明、理論的考察などをColumnとして解説!第4版以降の重要な法改正と最新の判例・裁判例の動きをふんだんに盛り込む!,7,2017-03-26 12:55:18 UTC,2017-06-04 13:18:49 UTC,水町勇一郎 ,有斐閣 ,2014 ,464114463X,9784641144637,,97846411446370,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641144637,published,http://books.google.com/books/content?id=3yj1oAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=3yj1oAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=3yj1oAEACAAJ&dq=isbn:9784641144637&hl=&source=gbs_api
3,『現代アジア経済論』  ,,none,8,2017-03-26 12:55:20 UTC,2017-06-04 15:13:12 UTC,郭洋春 ,法律文化社 ,2011 ,0,0,,45890337390,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4589033739,published,none,none,none
4,『開発経済学』  ,,功罪を戦後各期の動向を踏まえ整理し、概説,10,2017-03-26 12:55:22 UTC,2017-06-04 15:13:43 UTC,郭洋春 ,法律文化社 ,2010 ,4589032317,9784589032317,,45890323170,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4589032317,published,http://books.google.com/books/content?id=yCjxQwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=yCjxQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=yCjxQwAACAAJ&dq=isbn:4589032317&hl=&source=gbs_api
5,『財務会計論（第13版）』  ,,現代会計のバイブル。企業会計制度の全てを詳述!IASBでは、今後の会計実務に影響を及ぼしかねない「概念フレームワーク」の改訂を進めている。本書では、その公開草案の概要を示すとともに、最新の会計基準をフォローした。,11,2017-03-26 12:55:24 UTC,2017-06-04 15:14:15 UTC,広瀬義州 ,中央経済社 ,2015年 ,4502163414,9784502163418,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=gA0yjgEACAAJ&dq=isbn:9784502163418&hl=&source=gbs_api
6,『財務会計論（第１3版）』  ,,現代会計のバイブル。企業会計制度の全てを詳述!IASBでは、今後の会計実務に影響を及ぼしかねない「概念フレームワーク」の改訂を進めている。本書では、その公開草案の概要を示すとともに、最新の会計基準をフォローした。,12,2017-03-26 12:55:25 UTC,2017-06-04 15:14:45 UTC,広瀬義州 ,中央経済社 ,2015年 ,4502163414,9784502163418,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=gA0yjgEACAAJ&dq=isbn:9784502163418&hl=&source=gbs_api
7,『会計の歴史』  ,,none,13,2017-03-26 12:55:26 UTC,2017-06-04 15:15:16 UTC,友岡 賛 ,税務経理協会 ,2016 ,0,0,,44190637570,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4419063757,published,none,none,none
8,『会計の歴史』  ,,none,14,2017-03-26 12:55:27 UTC,2017-06-04 15:15:48 UTC,友岡 賛 ,税務経理協会 ,2016 ,0,0,,44190637570,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4419063757,published,none,none,none
9,『財務会計論（第１3版）』  ,,現代会計のバイブル。企業会計制度の全てを詳述!IASBでは、今後の会計実務に影響を及ぼしかねない「概念フレームワーク」の改訂を進めている。本書では、その公開草案の概要を示すとともに、最新の会計基準をフォローした。,17,2017-03-26 12:55:32 UTC,2017-06-04 15:16:20 UTC,広瀬義州 ,中央経済社 ,2015年 ,4502163414,9784502163418,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=gA0yjgEACAAJ&dq=isbn:9784502163418&hl=&source=gbs_api
10,財務会計（第13版）  ,,none,18,2017-03-26 12:55:33 UTC,2017-06-04 13:04:59 UTC,広瀬義州 ,中央経済社 ,2015年 ,4092211414,9784092211414,,978201042010502201016341201080,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,none,none,http://books.google.co.jp/books?id=cB5iNwAACAAJ&dq=title:%E8%B2%A1%E5%8B%99%E4%BC%9A%E8%A8%88%EF%BC%88%E7%AC%AC13%E7%89%88%EF%BC%89+%C2%A0%3Fq%3Dauthors:%E5%BA%83%E7%80%AC%E7%BE%A9%E5%B7%9E%C2%A0&hl=&source=gbs_api
11,エッセンシャルIFRS（第5版）  ,,本書は、IFRSの基本的な考え方に重点を置き、その全体像を体系的に解説したテキストである。著者が日本のコンバージェンス作業に携わる中で、IASBボードメンバーやスタッフとの議論や審議状況の分析などから得た知見が随所に盛り込まれている。第5版では、IFRS第16号「リース」やIFRSの動向、わが国における対応をフォローしている。また、章末問題の「エクササイズ」ではIFRS第16号のみならず、近年公表されたIFRS第9号「金融商品」やIFRS第15号「顧客との契約から生じる収益」も対象とするよう見直している。IFRSの本質を体系的に学ぶことができるとともに、日本基準の理解にも有用なIFRSテキストの決定版。,29,2017-03-26 12:55:50 UTC,2017-06-04 15:17:25 UTC,秋葉賢一  ,中央経済社 ,2016 ,4502213616,9784502213618,,97845022136180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502213618,published,http://books.google.com/books/content?id=SqI4MQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=SqI4MQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=SqI4MQAACAAJ&dq=isbn:9784502213618&hl=&source=gbs_api
12,『現代財政を学ぶ』  ,,持続可能な財政制度とは。普遍的サービスか、選別的サービスか、地方分権のありかた、少子高齢化への対応、財政赤字をどうするか―財政民主主義のまなざしから現代財政を読みとく。,33,2017-03-26 12:55:56 UTC,2017-06-04 15:17:56 UTC,池上岳彦編 ,有斐閣 ,2015年 ,4641184240,9784641184244,,97846411842440,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641184244,published,http://books.google.com/books/content?id=oHhGrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=oHhGrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=oHhGrgEACAAJ&dq=isbn:9784641184244&hl=&source=gbs_api
13,スマートコミュニティvol.5　コンパクトシティ＋ネットワークと地方創生  ,,2016年4月から始まる電力自由化を契機として、いよいよ日本のスマートコミュニティは実装段階に移行する。民間活力も加わった新たな公共サービスの始まりだ。エネルギー改革を基盤とした地方自治体独自のまちづくりが実を結ぶとき、超高齢化、地方創生、国土強靱化などわが国が抱える数々の課題が、一気に解放されるだろう。,34,2017-03-26 12:55:57 UTC,2017-06-04 15:18:27 UTC,柏木孝夫監修  ,時評者 ,２０１５年 ,4883392198,9784883392193,,97848833921930,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784883392193,published,http://books.google.com/books/content?id=hJ1-jgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=hJ1-jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=hJ1-jgEACAAJ&dq=isbn:9784883392193&hl=&source=gbs_api
14,Powering the Green Economy: The Feed-in Tariff Handbook  ,,none,36,2017-03-26 12:56:01 UTC,2017-06-04 15:18:58 UTC,"Miguel Mencdonça, David Jacobs and Benjamin Sovacool ",Earthscan ,2010 ,0,0,,97818440785850,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9781844078585,published,none,none,none
15,コミュニティパワー −− エネルギーで地域を豊かにする  ,,none,36,2017-03-26 12:56:01 UTC,2017-06-04 13:05:03 UTC,飯田哲也＋環境エネルギー政策研究所 ,学芸出版社 ,2014 ,0,0,,97847615258420,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784761525842,published,none,none,none
16,日本の知らない風力発電の実力  ,,none,36,2017-03-26 12:56:01 UTC,2017-06-04 13:05:04 UTC,安田陽 ,オーム社 ,2013 ,0,0,,97842740695050,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784274069505,published,none,none,none
17,木質バイオマス事業 −− 林業地域が成功する条件とは何か  ,,none,36,2017-03-26 12:56:01 UTC,2017-06-04 13:05:07 UTC,相川高信 ,全国林業改良普及協会 ,2014 ,0,0,,97848813831790,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784881383179,published,none,none,none
18,租税法概説第２版  ,,租税法を立体的に学ぶ。研究者と実務家のコラボによる好評テキストの最新版。理論的な骨組みを丁寧に説明しつつ、租税実務の「今」を鮮やかに伝える。,38,2017-03-26 12:56:04 UTC,2017-06-04 15:21:04 UTC,中里実他 ,有斐閣 ,2015 ,4641131783,9784641131781,,97846411317810,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641131781,published,http://books.google.com/books/content?id=By86rgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=By86rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=By86rgEACAAJ&dq=isbn:9784641131781&hl=&source=gbs_api
19,租税法概説第２版  ,,租税法を立体的に学ぶ。研究者と実務家のコラボによる好評テキストの最新版。理論的な骨組みを丁寧に説明しつつ、租税実務の「今」を鮮やかに伝える。,39,2017-03-26 12:56:05 UTC,2017-06-04 15:21:34 UTC,中里実他 ,有斐閣 ,2015 ,4641131783,9784641131781,,97846411317810,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641131781,published,http://books.google.com/books/content?id=By86rgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=By86rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=By86rgEACAAJ&dq=isbn:9784641131781&hl=&source=gbs_api
20,『福祉の経済学』  ,,公的年金、健康保険、失業保険、介護保険は経済的効率性を高める機能があることを主張。情報、リスク、不確実性など情報の経済学を使用して社会保障制度の必要性を論証。日本の社会保障制度改革を論ずる際にも有益な論点を提示。福祉国家を経済学的に理解する最適の入門書。,43,2017-03-26 12:56:11 UTC,2017-06-04 13:05:10 UTC,ニコラス・バー ,光生館 ,2007 ,4332600835,9784332600831,,none,"",published,http://books.google.com/books/content?id=vRHGQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=vRHGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=vRHGQgAACAAJ&dq=title:%E3%80%8E%E7%A6%8F%E7%A5%89%E3%81%AE%E7%B5%8C%E6%B8%88%E5%AD%A6%E3%80%8F+%C2%A0%3Fq%3Dauthors:%E3%83%8B%E3%82%B3%E3%83%A9%E3%82%B9%E3%83%BB%E3%83%90%E3%83%BC%C2%A0&hl=&source=gbs_api
21,『現代財政を学ぶ』  ,,持続可能な財政制度とは。普遍的サービスか、選別的サービスか、地方分権のありかた、少子高齢化への対応、財政赤字をどうするか―財政民主主義のまなざしから現代財政を読みとく。,51,2017-03-26 12:56:23 UTC,2017-06-04 15:22:37 UTC,池上岳彦編 ,有斐閣 ,2015年 ,4641184240,9784641184244,,97846411842440,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641184244,published,http://books.google.com/books/content?id=oHhGrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=oHhGrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=oHhGrgEACAAJ&dq=isbn:9784641184244&hl=&source=gbs_api
22,スマートコミュニティvol.5　コンパクトシティ＋ネットワークと地方創生  ,,2016年4月から始まる電力自由化を契機として、いよいよ日本のスマートコミュニティは実装段階に移行する。民間活力も加わった新たな公共サービスの始まりだ。エネルギー改革を基盤とした地方自治体独自のまちづくりが実を結ぶとき、超高齢化、地方創生、国土強靱化などわが国が抱える数々の課題が、一気に解放されるだろう。,52,2017-03-26 12:56:24 UTC,2017-06-04 15:23:08 UTC,柏木孝夫監修  ,時評者 ,２０１５年 ,4883392198,9784883392193,,97848833921930,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784883392193,published,http://books.google.com/books/content?id=hJ1-jgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=hJ1-jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=hJ1-jgEACAAJ&dq=isbn:9784883392193&hl=&source=gbs_api
23,入門統計学  ,,本書は分布から区間推定、検定、分散分析、多変量解析、実験計画法まで統計学に関するすべてを扱います。統計学に関する書籍は非常に多いですが、分析手法がわからない読者はこれ1冊で、統計学全般を学ぶことができ、さらに例題や演習問題を解くことにより、統計学を身につけることができます。公式ありきでなく、背景にある分析の考え方がわかる教科書です。,55,2017-03-26 12:56:29 UTC,2017-04-01 06:19:20 UTC,栗原伸一 ,オーム社 ,2011 ,9784274068553,4274068552,,42740685520,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4274068552,published,http://books.google.com/books/content?id=r5JIE8QbPbAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=r5JIE8QbPbAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=r5JIE8QbPbAC&source=gbs_api
24,『基礎から学ぶ　流通の理論と政策（新版）』  ,,流通論の基礎の基礎について楽しく学べるよう配慮、事例も直接密接なものに限定、内容や解説もポイントを絞り込む,56,2017-03-26 12:56:30 UTC,2017-06-04 15:24:12 UTC,番場博之 編 ,八千代出版 ,2016年 ,4842916664,9784842916668,,97848429166680,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784842916668,published,http://books.google.com/books/content?id=2LQ7jwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=2LQ7jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=2LQ7jwEACAAJ&dq=isbn:9784842916668&hl=&source=gbs_api
25,『基礎から学ぶ 流通の理論と政策（新版）』  ,,流通論の基礎の基礎について楽しく学べるよう配慮、事例も直接密接なものに限定、内容や解説もポイントを絞り込む,57,2017-03-26 12:56:32 UTC,2017-06-04 15:24:43 UTC,番場博之 編 ,八千代出版 ,2016年 ,4842916664,9784842916668,,97848429166680,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784842916668,published,http://books.google.com/books/content?id=2LQ7jwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=2LQ7jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=2LQ7jwEACAAJ&dq=isbn:9784842916668&hl=&source=gbs_api
26,The 21st century economy A beginner’s guide  ,,none,72,2017-03-26 12:56:53 UTC,2017-06-04 13:05:15 UTC,Randy Charles Epping ,Vintage Books ,2009 ,0,0,,97803073879050,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9780307387905,published,none,none,none
27,The 21st century economy A beginner’s guide  ,,none,73,2017-03-26 12:56:54 UTC,2017-06-04 13:05:16 UTC,Randy Charles Epping ,Vintage Books ,2009 ,0,0,,97803073879050,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9780307387905,published,none,none,none
28,条文から学ぶ独占禁止法  ,,条文に沿って独占禁止法を学ぶ。「独占禁止法」そのものを読みながら理解を深める!,75,2017-03-26 12:56:57 UTC,2017-06-04 15:26:15 UTC,土田和博・栗田誠・東條吉純・武田邦宣 ,有斐閣 ,2014 ,4641144702,9784641144705,,97846411447050,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641144705,published,http://books.google.com/books/content?id=PFnGoQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=PFnGoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=PFnGoQEACAAJ&dq=isbn:9784641144705&hl=&source=gbs_api
29,条文から学ぶ独占禁止法  ,,条文に沿って独占禁止法を学ぶ。「独占禁止法」そのものを読みながら理解を深める!,76,2017-03-26 12:56:59 UTC,2017-06-04 15:26:46 UTC,土田和博・栗田誠・東條吉純・武田邦宣 ,有斐閣 ,2014 ,4641144702,9784641144705,,97846411447050,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641144705,published,http://books.google.com/books/content?id=PFnGoQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=PFnGoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=PFnGoQEACAAJ&dq=isbn:9784641144705&hl=&source=gbs_api
30,『自由貿易神話解体新書』  ,,none,78,2017-03-26 12:57:01 UTC,2017-04-01 06:34:24 UTC,関 良基 ,花伝社 ,2012 ,0,0,,97847634064390,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784763406439,published,none,none,none
31,合格テキスト日商簿記1級　商業簿記・会計学Ⅱ  ,,none,79,2017-03-26 12:57:03 UTC,2017-06-04 13:05:19 UTC,ＴＡＣ株式会社 ,ＴＡＣ出版 ,2015年 ,0,0,,none,"",published,none,none,none
32,合格テキスト　日商簿記1級　Ⅱ  ,,none,80,2017-03-26 12:57:05 UTC,2017-06-04 13:05:21 UTC,ＴＡＣ株式会社 ,ＴＡＣ出版 , ,4092211414,9784092211414,,none,"",published,none,none,http://books.google.co.jp/books?id=cB5iNwAACAAJ&dq=title:%E5%90%88%E6%A0%BC%E3%83%86%E3%82%AD%E3%82%B9%E3%83%88%E3%80%80%E6%97%A5%E5%95%86%E7%B0%BF%E8%A8%981%E7%B4%9A%E3%80%80%E2%85%A1+%C2%A0%3Fq%3Dauthors:%EF%BC%B4%EF%BC%A1%EF%BC%A3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%C2%A0&hl=&source=gbs_api
33,『経済系のための情報活用1 Office2013対応』  ,,none,81,2017-03-26 12:57:07 UTC,2017-06-04 13:05:21 UTC,菊地進・岩崎俊夫編著 ,実教出版 ,2013 ,0,0,,97844073323390,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784407332339,published,none,none,none
34,『経済系のための情報活用2　Office2013対応』  ,,none,81,2017-03-26 12:57:07 UTC,2017-06-04 13:05:22 UTC,菊地進・岩崎俊夫編著 ,実教出版 ,2015 ,0,0,,97844073362830,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784407336283,published,none,none,none
35,『経済系のための情報活用１　Office2013対応』  ,,none,82,2017-03-26 12:57:09 UTC,2017-06-04 13:05:24 UTC,菊地進・岩崎俊夫編著 ,実教出版 ,2013 ,0,0,,97844073323390,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784407332339,published,none,none,none
36,『経済系のための情報活用2　Office2013対応』  ,,none,82,2017-03-26 12:57:09 UTC,2017-06-04 13:05:25 UTC,菊地進・岩崎俊夫編著 ,実教出版 ,2015 ,0,0,,97844073362830,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784407336283,published,none,none,none
