CHE3410,高分子化学,石曽根　隆,春・月・１ X305,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC182&value(crclumcd)=
CHE2410,有機化学演習,黒田　智明,秋・月・１ 5224,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC191&value(crclumcd)=
CHE2400,有機構造決定法,森本　正和,春・月・１ X304,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC114&value(crclumcd)=
,科学英語２（化）,中川　直子,春・月・２ 5405,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC072&value(crclumcd)=
CHE2210,物理化学３,枝元　一之,秋・月・２ X106,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC179&value(crclumcd)=
CHE2300,分析化学　１,宮部　寛志,秋・月・２ 5221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC080&value(crclumcd)=
CHE2310,分析化学　２,板橋　豊,春・月・２ 5221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC176&value(crclumcd)=
SCI3220,サイエンスコミュニケーション実践（ＳＡＬ,工藤　光子,秋・月・２ 4252,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK011&value(crclumcd)=
SCI1220,理学とキャリア（ＳＡＬ１）,工藤　光子杉山　健一平山　孝人黒田　智明末次　正幸逸見　敏郎,春・月・２ ９大,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK001&value(crclumcd)=
CHE2610,化学情報処理,古明地　勇人望月　祐志,春・月・３ 8301,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC045&value(crclumcd)=
CHE2610,情報科学（化）,古明地　勇人望月　祐志,春・月・３ 8301,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC202&value(crclumcd)=
,遷移元素の化学,和田　亨,春・月・３ X204,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC184&value(crclumcd)=
CHE2310,分析化学　３,鈴木　望,秋・月・３ X301,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC204&value(crclumcd)=
CHE2010,化学ゼミナ－ル,和田　亨田渕　眞理新化助Ａ新化助Ｃ,秋・月・４ 4152,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC148&value(crclumcd)=
CHE3610,分子軌道論,望月　祐志,秋・月・４ 4411,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC180&value(crclumcd)=
CHE1500,無機化学入門,松下　信之,春・月・４ X204,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC076&value(crclumcd)=
,化学実験　３,黒田　智明和田　亨松下　信之新化助Ｂ森本　正和山中　正浩新化助Ｃ渡邉　永治常盤　広明望月　祐志安池　智一中野　祥吾,春・月・４ 8303春・月・５ 8303春・火・３ C202春・火・４ C202春・火・５ C202春・水・３ C202春・水・４ C202春・水・５ C202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC047&value(crclumcd)=
CHE2903,科学英語１（化）,中川　直子ホーン，Ｅ．,秋・月・５ 4151,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC071&value(crclumcd)=
CHE2903,科学英語（化）,中川　直子ホーン，Ｅ．,秋・月・５ 4151,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC086&value(crclumcd)=
CHE1910,基礎物理学,島野　誠大,春・月・５ X309,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC196&value(crclumcd)=
SCI2110,科学史,内田　正夫,秋・月・５ 4342,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK004&value(crclumcd)=
SCI3220,理数教育企画（ＳＡＬ３Ａ）,工藤　光子西納　武男中野　祐司大山　秀子岡　敏彦,春・月・５ A202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK003&value(crclumcd)=
CHE1900,数学　１,望月　祐志,春・火・１ 5221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC037&value(crclumcd)=
CHE1900,数学（化）,望月　祐志,春・火・１ 5221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC077&value(crclumcd)=
CHE2500,無機化学　１,松下　信之,秋・火・１ 5221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC081&value(crclumcd)=
CHE2510,無機化学　２,松下　信之,春・火・１ X304,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC175&value(crclumcd)=
CHE2410,有機化学　３,森本　正和,秋・火・１ 4339,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC113&value(crclumcd)=
,知的財産権　１,岡田　宏之,春・火・２ 8304,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC194&value(crclumcd)=
CHE3210,物性科学,大山　秀子,春・火・２ X301,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC173&value(crclumcd)=
CHE2200,物理化学　１,枝元　一之,秋・火・２ M302,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC079&value(crclumcd)=
CHE2200,物理化学序論,枝元　一之,秋・火・２ M302,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC003&value(crclumcd)=
CHE2400,有機化学　２,箕浦　真生,春・火・２ M302,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC014&value(crclumcd)=
CHE3410,有機合成化学,箕浦　真生,秋・火・２ D301,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CC116&value(crclumcd)=
