CMP2100,多彩１,イスラームの世界,青木　健,春,月,１ 8202,池袋,
CMP2300,多彩３/主総Ａ３,キリスト教美術,黒岩　三恵,秋,月,１ MB01,池袋,
CMP1100,学び精神,グローバル社会での平和構築,堀　芳枝,春,月,１ D401,池袋,2016年度以降1年次入学者対象科目,
CMP2500,多彩５/主Ａ５,情報科学Ａ,佐藤　尚,秋,月,１ 8202,池袋,
CMP2200,多彩２/主総Ａ２,市民活動の組織とマネジメント,原田　晃樹,秋,月,１ 1202,池袋,,
CMP2100,多彩１/主総Ａ１,スペイン語圏の文化,飯島　みどり,秋,月,１ N323,新座,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア-エクササイズ),大石　友子,春,月,１ NTE1,新座,,
CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,春,月,１ PB12,池袋,,
CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,秋,月,１ PB12,池袋,,
CMP2400,多彩４/主総Ａ４,スポーツと文化,高峰　修,秋,月,１ N431,新座,,
CMP1210,スポーツ,スポーツプログラムＡ(卓球),石渡　貴之,春,月,１ P401,池袋,,
CMP1210,スポーツ,スポーツプログラムＦ(卓球),石渡　貴之,秋,月,１ P401,池袋,,
CMP2500,多彩５/主総Ａ５,都市と自然,山口　知成,春,月,１ 4402,池袋,,
CMP2500,多彩５,身近な物質の化学,枝元　一之,春,月,１ MB01,池袋,,
CMP1100,学び精神/立教Ａ,立教大学の歴史,舟橋　正真,春,月,１ M201,池袋,2012年度以降1年次入学者対象科目,
CMP1100,学び精神,愛について：キリスト教の倫理と哲学,宮崎　光,春,月,２ N213,新座,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,アジア地域での平和構築,高　成鳳,春,月,２ X304,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,アジア地域での平和構築,高　成鳳,秋,月,２ X304,池袋,2016年度以降1年次入学者対象科目,
CMP2100,多彩１/主総Ａ１,イタリアの文化とことば,深田　麻里亜,秋,月,２ N331,新座,,
CMP2310,多彩３,音楽の生まれる場,星野　宏美玉川　裕子,秋,月,２ 5324,池袋,,
CMP2100,多彩１/主総Ａ１,現代社会と人間,元森　絵里子,秋,月,２ 4402,池袋,,
CMP1100,学び精神,国際社会の中の宗教,藁科　智恵,春,月,２ 4342,池袋,2016年度以降1年次入学者対象科目,
CMP2500,多彩５/主Ａ５,情報科学Ａ,古賀　ひろみ,春,月,２ 5121,池袋,,
CMP2500,多彩５/主Ａ５,情報科学Ｂ,佐藤　尚,春,月,２ 8202,池袋,,
CMP2500,多彩５/主Ａ５,情報科学Ｂ,古賀　ひろみ,秋,月,２ 5121,池袋,,
CMP2200,多彩２/主Ａ２,情報と倫理,高橋　慈子,春,月,２ MB01,池袋,,
CMP2100,多彩１,人権思想の根源,嶽本　新奈,秋,月,２ 7101,池袋,,
CMP2500,多彩５/主総Ａ５,数学の世界,大下　範幸,秋,月,２ 8202,池袋,,
CMP2300,多彩３/主総Ａ３,スペイン語圏の文学,久野　量一,秋,月,２ N852,新座,,
CMP2300,多彩３/主総Ａ３,スペイン語圏の文学,久野　量一,春,月,２ 7101,池袋,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア-エクササイズ),大石　友子,春,月,２ NTE1,新座,,
CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,春,月,２ PB12,池袋,,
CMP1220,スポーツ,スポーツスタディ２(トレーニング),岡田　純一,秋,月,２ PB12,池袋,,
CMP1210,スポーツ,スポーツプログラムＡ(バドミントン),笛木　寛,春,月,２ PB21,池袋,,
CMP1210,スポーツ,スポーツプログラムＦ(バドミントン),笛木　寛,秋,月,２ PB21,池袋,,
CMP2100,多彩１,哲学への扉,本郷　朝香,秋,月,２ N851,新座,,
CMP2200,多彩２,日本国憲法,大石　和彦,春,月,２ N215,新座,,
CMP2200,多彩２,日本国憲法,大石　和彦,秋,月,２ N215,新座,,
CMP2300,多彩３/主総Ａ３,日本の音楽,三浦　裕子,秋,月,２ N313,新座,,
CMP2300,多彩３/主総Ａ３,日本の音楽,三浦　裕子,春,月,２ 5324,池袋,,
CMP2200,多彩２/主総Ａ２,パレスチナ問題の歴史と現在,高橋　宗瑠,春,月,２ N431,新座,,
CMP1100,学び精神,美術の中のキリスト教,高木　真喜子,秋,月,２ N311,新座,2016年度以降1年次入学者対象科目,
CMP2300,多彩３/主総Ａ３,美術の歴史,井口　俊,春,月,２ N212,新座,,
CMP2500,多彩５,物質の科学,田中　秀和,春,月,２ N221,新座,,
CMP2540,多彩５,立教ゼミナール５,木下　勉,春,月,２ 7302,池袋,,
CMP2210,多彩２,いのちと暮らしのジェンダー論,和田　悠清原　悠,秋,月,３ D201,池袋,,
CMP2231,多彩２/主総Ａ２,Politics and Economy 1,楠本　和佳子,春,月,３ X306,池袋,,
CMP2331,多彩３/主総Ａ３,Japanese Culture 2,レイゼル，Ｍ．,秋,月,３ 4407,池袋,,
CMP2231,多彩２/主総Ａ２,Japanese Society1,レイゼル，Ｍ．,春,月,３ 4407,池袋,,
CMP2231,多彩２/主総Ａ２,Japanese Society2,楠本　和佳子,秋,月,３ X306,池袋,,
CMP2131,多彩１/主総Ａ１,Japanese Ethnology,フェニグ，Ｎ．,春,月,３ N222,新座,,
CMP2300,多彩３/主総Ａ３,音楽の歴史,神保　夏子,秋,月,３ 5324,池袋,,
CMP2200,多彩２/主総Ａ２,グローバル社会における法と政治,荻村　慎一郎,秋,月,３ N313,新座,,
CMP1100,学び精神,芸術への扉,神保　夏子,春,月,３ 5324,池袋,2016年度以降1年次入学者対象科目,
CMP2200,多彩２,現代のビジネスを学ぶ,岩下　仁,秋,月,３ 5121,池袋,,
CMP1100,学び精神,国際社会の中の宗教,古澤　有峰,春,月,３ 8202,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,人権とジェンダー,嶽本　新奈,春,月,３ 5121,池袋,2016年度以降1年次入学者対象科目,
CMP2500,多彩５/主総Ａ５,自然と人間の共生,辻　英之,秋,月,３ N421,新座,,
CMP1221,スポーツ,スポーツスタディ１(レクリエーショナルスポーツ),マックグラス,春,月,３ P401,池袋,,
CMP1221,スポーツ,スポーツスタディ１(レクリエーショナルスポーツ),マックグラス,秋,月,３ P401,池袋,,
CMP1220,スポーツ,スポーツスタディ２(アダプテッドスポーツ),堀江　航,秋,月,３ NTA1,新座,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア,エクササイズ),大石　友子,秋,月,３ P402,池袋,,
CMP1220,スポーツ,スポーツスタディ３(テニス),濁川　孝志,春,月,３ NZT1,新座,,
CMP1220,スポーツ,スポーツスタディ３(フットサル),笛木　寛,春,月,３ P501,池袋,,
CMP1220,スポーツ,スポーツスタディ３(フットサル),笛木　寛,秋,月,３ P501,池袋,,
CMP1210,スポーツ,スポーツプログラムＡ(はじめてのバレエ),大石　友子,春,月,３ NTE1,新座,,
CMP2100,多彩１/主総Ａ１,聖書と人間,吉田　忍,秋,月,３ 4402,池袋,,
CMP1100,学び精神,世界史の中のキリスト教,鈴木　昇司,春,月,３ N331,新座,2016年度以降1年次入学者対象科目,
CMP2100,多彩１/主総Ａ１,中国語圏の文化,稲葉　明子,秋,月,３ N851,新座,,
CMP2300,多彩３/主総Ａ３,日本の美術,佐藤　知乃,秋,月,３ N321,新座,,
CMP1100,学び精神,美術の中のキリスト教,加藤　磨珠枝,春,月,３ 5321,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,文学を生み出すキリスト教,大澤　千恵子,秋,月,３ N214,新座,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,文学を生み出すキリスト教,大澤　千恵子,春,月,３ A203,池袋,2016年度以降1年次入学者対象科目,
CMP2300,多彩３,文学への扉,鈴木　里香,秋,月,３ MB01,池袋,,
CMP2200,多彩２,法と社会,神吉　知郁子,春,月,３ MB01,池袋,,
CMP2340,多彩３,立教ゼミナール３,坂本　浩也,春,月,３ 7202,池袋,,
CMP2100,多彩１/主総Ａ１,論理的思考法,津留　竜馬,秋,月,３ 8202,池袋,,
CMP2101,多彩１/主Ａ１,World History,中込　さやか,秋,月,３ 6205秋,木,４ 6205,池袋,,
CMP1100,学び精神,アジア地域での平和構築,崔　先鎬,春,月,４ N333,新座,2016年度以降1年次入学者対象科目,
CMP2301,多彩３/主Ａ３,Culture and Fine Arts,大橋　里見,秋,月,４ 6205秋,木,３ 7202,池袋,,
CMP2200,多彩２,観光学への誘い,羽生　敦子,秋,月,４ 8101,池袋,,
CMP2300,多彩３/主総Ａ３,キリスト教音楽,星野　宏美,秋,月,４ 5324,池袋,,
CMP1100,学び精神,芸術への扉,宮崎　匠,春,月,４ N431,新座,2016年度以降1年次入学者対象科目,
CMP2100,多彩１/主総Ａ１,現代社会と人間,中西　啓喜,秋,月,４ N312,新座,,
CMP1100,学び精神,現代社会の中の宗教１,梅澤　弓子,秋,月,４ M302,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,経営学への招待,秋野　晶二,春,月,４ M201,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,経営学への招待,青淵　正幸,春,月,４ M302,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,経営学への招待,尾﨑　俊哉,春,月,４ M301,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,人文学からの学び（史学）,中台　由佳里,春,月,４ D401,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,人文学からの学び（文学）,陣野　俊史,春,月,４ X304,池袋,2016年度以降1年次入学者対象科目,
CMP2300,多彩３/主総Ａ３,身体表現と哲学,堀　千晶,秋,月,４ 7102,池袋,,
CMP1221,スポーツ,スポーツスタディ１(レクリエーショナルスポーツ),マックグラス,春,月,４ P401,池袋,,
CMP1221,スポーツ,スポーツスタディ１(レクリエーショナルスポーツ),マックグラス,秋,月,４ P401,池袋,,
CMP1220,スポーツ,スポーツスタディ２(ダイエットフィットネス),大石　友子,秋,月,４ P402,池袋,,
CMP1220,スポーツ,スポーツスタディ３(フットサル),笛木　寛,春,月,４ P501,池袋,,
CMP1220,スポーツ,スポーツスタディ３(フットサル),笛木　寛,秋,月,４ P501,池袋,,
CMP1100,学び精神,西欧キリスト教社会における大学の誕生,松澤　裕樹,春,月,４ D201,池袋,2016年度以降1年次入学者対象科目,
CMP2500,多彩５,大学と科学技術,柿原　泰,春,月,４ 8202,池袋,,
CMP2400,多彩４/主総Ａ４,対人関係の心理,浅井　健史,春,月,４ 7102,池袋,,
CMP2100,多彩１,地域研究への扉,中台　由佳里,秋,月,４ AB01,池袋,,
CMP2500,多彩５/主総Ａ５,地球の理解,小森　次郎,春,月,４ N214,新座,,
CMP2100,多彩１/主総Ａ１,中国語圏の文化,稲葉　明子,春,月,４ 5322,池袋,,
CMP2200,多彩２/主総Ａ２,入門･経済教室,佐藤　有史,春,月,４ 4402,池袋,,
CMP1100,学び精神,美と生命について：キリスト教の美学,茅根　紀子,春,月,４ 8304,池袋,2016年度以降1年次入学者対象科目,
CMP2100,多彩１,仏教の世界,宮　信明,春,月,４ AB01,池袋,,
CMP2300,多彩３,文学への扉,藤村　希,秋,月,４ N214,新座,,
CMP2300,多彩３,文学への扉,菅谷　憲興,秋,月,４ 8202,池袋,,
CMP2100,多彩１/主総Ａ１,文化を生きる,後藤　隆基,秋,月,４ MB01,池袋,,
