id,name,faculty_id,department_id,school_id,text_presence,period,day,created_at,updated_at,professor_id,course_num,hold_year,info,professor_name,term,url,course_status
0,原価計算論１,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 09:55:08 UTC,,ECX2910,2017,春・月・１ 5122,内野　一樹,first_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX254&value(crclumcd)=,
1,原価計算論２,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 09:55:12 UTC,,ECX2910,2017,秋・月・１ 5122,内野　一樹,second_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX255&value(crclumcd)=,
2,経済統計学１,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 09:55:14 UTC,,ECX3310,2017,春・月・１ 8304,櫻本　健,first_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX123&value(crclumcd)=,
3,経済統計学２,4,11,1,existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-25 15:20:57 UTC,,ECX3310,2017,秋・月・１ 8304,櫻本　健,second_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX124&value(crclumcd)=,
4,ファイナンス基礎,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 10:06:48 UTC,,ECX1610,2017,春・月・１ 7102,渡辺　茂,first_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX080&value(crclumcd)=,
5,簿記１,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 10:06:50 UTC,,ECX1810,2017,春・月・１ M302,北井　不二男,first_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX211&value(crclumcd)=,
6,簿記２,4,11,1,not_existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-26 10:06:51 UTC,,ECX1810,2017,秋・月・１ M302,北井　不二男,second_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX212&value(crclumcd)=,
7,労働法,4,11,1,existed,period_one,monday,2017-03-25 15:20:57 UTC,2017-03-25 15:20:57 UTC,,ECX3010,2017,春・月・１ 8101春・木・２ 8101,神吉　知郁子,first_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX307&value(crclumcd)=,
8,アジア経済論,4,11,1,existed,period_two,monday,2017-03-25 15:20:57 UTC,2017-03-25 15:20:57 UTC,,ECX2510,2017,秋・月・２ 7102,郭　洋春,second_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX199&value(crclumcd)=,
9,医療経済論,4,11,1,not_existed,period_two,monday,2017-03-25 15:20:57 UTC,2017-03-26 10:09:06 UTC,,ECX3510,2017,秋・月・２ D501,大津　唯,second_term,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=BX147&value(crclumcd)=,
