id,name,price,explanation,course_id,created_at,updated_at,author,publisher,published_year,isbn_10,isbn_13,issn_13,book_code,url,textbook_status,small_thumbnail,thumbnail,info_link
1,入門GDP 統計と経済波及効果分析 ?,,世界の構造改革のバイブル。1962年初版、フリードマンが最も愛した著作、待望の新訳。郵政改革、教育バウチャー、規制撤廃など絶対自由主義の政策の意味を説いた名著。,3,2017-03-26 12:55:12 UTC,2017-04-01 06:18:39 UTC,李潔?,大学教育出版?,2016?,4822246418,9784822246419,,48642935970,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4864293597,published,http://books.google.com/books/content?id=KVEWOwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=KVEWOwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=KVEWOwAACAAJ&dq=%E5%85%A5%E9%96%80GDP+%E7%B5%B1%E8%A8%88%E3%81%A8%E7%B5%8C%E6%B8%88%E6%B3%A2%E5%8F%8A%E5%8A%B9%E6%9E%9C%E5%88%86%E6%9E%90+%C2%A0%3Fq%3D%E5%A4%A7%E5%AD%A6%E6%95%99%E8%82%B2%E5%87%BA%E7%89%88%C2%A0&hl=&source=gbs_api
2,『労働法（第５版）』 ?,,2016年国会の立法動向を含む、近時の重要な法令のうごきを反映。また、労働現場での紛争の様相をあらわす数多くの新判例をとりあげた。全体の見直しで読みやすさも追求。法学部生・法科大学院生から実務家まで、幅広いニーズに応える充実の基本書。,7,2017-03-26 12:55:18 UTC,2017-04-01 06:18:42 UTC,水町勇一郎?,有斐閣?,2014?,4641144877,9784641144873,,97846411446370,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784641144637,published,http://books.google.com/books/content?id=a8qLDAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=a8qLDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=a8qLDAEACAAJ&dq=%E3%80%8E%E5%8A%B4%E5%83%8D%E6%B3%95%EF%BC%88%E7%AC%AC%EF%BC%95%E7%89%88%EF%BC%89%E3%80%8F+%C2%A0%3Fq%3D%E6%9C%89%E6%96%90%E9%96%A3%C2%A0&hl=&source=gbs_api
3,『現代アジア経済論』 ?,,none,8,2017-03-26 12:55:20 UTC,2017-04-01 06:18:44 UTC,郭洋春?,法律文化社?,2011?,UOM:39015046078575,0,,45890337390,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4589033739,published,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Fb0cAQAAMAAJ&dq=%E3%80%8E%E7%8F%BE%E4%BB%A3%E3%82%A2%E3%82%B8%E3%82%A2%E7%B5%8C%E6%B8%88%E8%AB%96%E3%80%8F+%C2%A0%3Fq%3D%E6%B3%95%E5%BE%8B%E6%96%87%E5%8C%96%E7%A4%BE%C2%A0&hl=&source=gbs_api
4,『開発経済学』 ?,,none,10,2017-03-26 12:55:22 UTC,2017-04-01 06:18:46 UTC,郭洋春?,法律文化社?,2010?,UOM:39015046078575,0,,45890323170,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4589032317,published,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Fb0cAQAAMAAJ&dq=%E3%80%8E%E9%96%8B%E7%99%BA%E7%B5%8C%E6%B8%88%E5%AD%A6%E3%80%8F+%C2%A0%3Fq%3D%E6%B3%95%E5%BE%8B%E6%96%87%E5%8C%96%E7%A4%BE%C2%A0&hl=&source=gbs_api
5,『財務会計論（第13版）』 ?,,none,11,2017-03-26 12:55:24 UTC,2017-04-01 06:18:48 UTC,広瀬義州?,中央経済社?,2015年?,UOM:39015046078575,0,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Fb0cAQAAMAAJ&dq=%E3%80%8E%E8%B2%A1%E5%8B%99%E4%BC%9A%E8%A8%88%E8%AB%96%EF%BC%88%E7%AC%AC13%E7%89%88%EF%BC%89%E3%80%8F+%C2%A0%3Fq%3D%E4%B8%AD%E5%A4%AE%E7%B5%8C%E6%B8%88%E7%A4%BE%C2%A0&hl=&source=gbs_api
6,『財務会計論（第１3版）』 ?,,none,12,2017-03-26 12:55:25 UTC,2017-04-01 06:18:50 UTC,広瀬義州?,中央経済社?,2015年?,UOM:39015046078575,0,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Fb0cAQAAMAAJ&dq=%E3%80%8E%E8%B2%A1%E5%8B%99%E4%BC%9A%E8%A8%88%E8%AB%96%EF%BC%88%E7%AC%AC%EF%BC%913%E7%89%88%EF%BC%89%E3%80%8F+%C2%A0%3Fq%3D%E4%B8%AD%E5%A4%AE%E7%B5%8C%E6%B8%88%E7%A4%BE%C2%A0&hl=&source=gbs_api
7,『会計の歴史』 ?,,正確な理解と問題の解決。グローバル化時代の相互理解のために、日本社会における役割を検討する。,13,2017-03-26 12:55:26 UTC,2017-04-01 06:18:52 UTC,友岡 賛?,税務経理協会?,2016?,4757123094,9784757123090,,44190637570,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4419063757,published,http://books.google.com/books/content?id=Lp8NNwnnzhsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Lp8NNwnnzhsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=Lp8NNwnnzhsC&dq=%E3%80%8E%E4%BC%9A%E8%A8%88%E3%81%AE%E6%AD%B4%E5%8F%B2%E3%80%8F+%C2%A0%3Fq%3D%E7%A8%8E%E5%8B%99%E7%B5%8C%E7%90%86%E5%8D%94%E4%BC%9A%C2%A0&hl=&source=gbs_api
8,『会計の歴史』 ?,,正確な理解と問題の解決。グローバル化時代の相互理解のために、日本社会における役割を検討する。,14,2017-03-26 12:55:27 UTC,2017-04-01 06:18:53 UTC,友岡 賛?,税務経理協会?,2016?,4757123094,9784757123090,,44190637570,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4419063757,published,http://books.google.com/books/content?id=Lp8NNwnnzhsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Lp8NNwnnzhsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=Lp8NNwnnzhsC&dq=%E3%80%8E%E4%BC%9A%E8%A8%88%E3%81%AE%E6%AD%B4%E5%8F%B2%E3%80%8F+%C2%A0%3Fq%3D%E7%A8%8E%E5%8B%99%E7%B5%8C%E7%90%86%E5%8D%94%E4%BC%9A%C2%A0&hl=&source=gbs_api
9,『財務会計論（第１3版）』 ?,,none,17,2017-03-26 12:55:32 UTC,2017-04-01 06:18:54 UTC,広瀬義州?,中央経済社?,2015年?,UOM:39015046078575,0,,97845021634180,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Fb0cAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Fb0cAQAAMAAJ&dq=%E3%80%8E%E8%B2%A1%E5%8B%99%E4%BC%9A%E8%A8%88%E8%AB%96%EF%BC%88%E7%AC%AC%EF%BC%913%E7%89%88%EF%BC%89%E3%80%8F+%C2%A0%3Fq%3D%E4%B8%AD%E5%A4%AE%E7%B5%8C%E6%B8%88%E7%A4%BE%C2%A0&hl=&source=gbs_api
10,財務会計（第13版） ?,,現代会計のバイブル。企業会計制度の全てを詳述!IASBでは、今後の会計実務に影響を及ぼしかねない「概念フレームワーク」の改訂を進めている。本書では、その公開草案の概要を示すとともに、最新の会計基準をフォローした。,18,2017-03-26 12:55:33 UTC,2017-04-01 06:18:57 UTC,広瀬義州?,中央経済社?,2015年?,4502163414,9784502163418,,978201042010502201016341201080,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502163418,published,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=gA0yjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=gA0yjgEACAAJ&dq=%E8%B2%A1%E5%8B%99%E4%BC%9A%E8%A8%88%EF%BC%88%E7%AC%AC13%E7%89%88%EF%BC%89+%C2%A0%3Fq%3D%E4%B8%AD%E5%A4%AE%E7%B5%8C%E6%B8%88%E7%A4%BE%C2%A0&hl=&source=gbs_api
