科目ﾅﾝﾊﾞﾘﾝｸﾞ,科目名,担当者,学期・曜日・時限・教室,
TRM3003,観光特論３（英語）,武内　一良,秋・月・１ N844,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA505&value(crclumcd)=
TRM2003,観光特論６（英語）,韓　志昊,春・月・１ N221,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA518&value(crclumcd)=
TRM1200,職業指導概論１,佐々木　尚毅,春・月・１ N323,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA833&value(crclumcd)=
,職業指導概論１,佐々木　尚毅,春・月・１ N323,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX301&value(crclumcd)=
TRC2300,農村観光論,嵩　和雄,秋・月・１ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB126&value(crclumcd)=
,農村観光論,嵩　和雄,秋・月・１ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB130&value(crclumcd)=
TRM1000,ＧＩＳ演習,鄭　玉姫,春・月・２ N823,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA607&value(crclumcd)=
TRC2100,外国地誌３,鄭　玉姫,秋・月・２ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB315&value(crclumcd)=
TRC2000,観光教育,武内　一良,秋・月・２ N323,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB136&value(crclumcd)=
TRC2200,観光と文化,鈴木　涼太郎,春・月・２ N333,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB085&value(crclumcd)=
,観光と文化１,鈴木　涼太郎,春・月・２ N333,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB093&value(crclumcd)=
TRM1000,観光の社会的広がり,阿南　透,秋・月・２ N8B1,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA608&value(crclumcd)=
TRC2400,交流文学論,舛谷　鋭,春２・月・２ N311春２・木・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB109&value(crclumcd)=
,交流文学論１,舛谷　鋭,春１・月・２ N311春１・木・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB030&value(crclumcd)=
,交流文学論２,舛谷　鋭,春２・月・２ N311春２・木・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB106&value(crclumcd)=
,交流文化論,大橋　健一,秋・月・２ N421,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA015&value(crclumcd)=
TRC1200,交流文化論,大橋　健一,秋・月・２ N421,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB011&value(crclumcd)=
TRC1400,交流文化研究４（交流文学の方法）,舛谷　鋭,春１・月・２ N311春１・木・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB004&value(crclumcd)=
TRC2200,比較文化論,内藤　暁子,春・月・２ N323,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB329&value(crclumcd)=
TRM1200,法学１,金子　和夫,春・月・２ N331,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA811&value(crclumcd)=
TRM1200,法学２,金子　和夫,秋・月・２ N214,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA812&value(crclumcd)=
,法学１,金子　和夫,春・月・２ N331,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX171&value(crclumcd)=
,法学２,金子　和夫,秋・月・２ N214,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX172&value(crclumcd)=
TRC2500,移住と定着,今泉　良太,春・月・３ N431,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB115&value(crclumcd)=
,演習（４年）Ａ,杜　国慶,春・月・３ N841,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA681&value(crclumcd)=
